Restaurant Name,cuisine,location,avg_price,price_norm
gangnam galbi restaurant,korean,baluwatar thirbam sadak,955.8620689655172,0.9842243130838955
gas o fast,healthy  ayurveda,kamal pokhari,16.0,0.9999999999832149
genesis cafe,multicuisine,panipokhari,687.2727272727273,0.9887326143537866
gg machaan,nepali asian,jhamshikhel,527.8971962616822,0.9914077499504496
ghangri cafe,multi cuisine,jhamsikhel,439.40625,0.9928930800938242
gimbap go,korean,pulchowk,421.25,0.9931978347218953
gimbap go  thamel,korean,thamel,412.42424242424244,0.9933459760213071
greasy grill restaurant,burger  wings  cheesecake  pizza,maligaun kalopul,422.9268292682927,0.9931696889605185
grill durbar  jawalakhel,fast food,jawalakhel,578.875,0.9905520819783653
grill durbar grill  garden restaurant,continental,sorakhutte,569.9431818181819,0.9907020035165683
grills  more,grilled chicken,sanepa,700.0,0.9885189856988408
h2o cafe  pub  basantapur,multi cuisine,basantapur,366.39130434782606,0.9941186438862297
h2o cafe  pub  thamel,multi cuisine,thamel,388.7795275590551,0.9937428551282036
h2o cafe center,multi cuisine,chabahil,339.44029850746267,0.9945710194462172
haadi bistro  cafe,biryani,jhhochen basantapur,389.6111111111111,0.99372889690797
haadi bistro  cafe  boudha,biryani,boudha,379.04761904761904,0.9939062062694813
haadi bistro  cafe  gongabu,biryani,gongabu,379.04761904761904,0.9939062062694813
hakku multicuisine dining,multi cuisine,chabahil,378.6231884057971,0.9939133303838987
hamro vegan,vegan,kumaripati,466.4782608695652,0.9924386734512799
hankook sarang korean restaurant  jawalakhel,korean,jawalakhel,814.8648648648649,0.9865909664674282
hankook sarang korean restaurant  thamel,korean,thamel,822.1518987341772,0.9864686528125388
hanok korean  nepali house,korean nepali newari,shanta bhawan jhamsikhel,389.684375,0.9937276671656383
hello momo  naxal bhatbhateni,momo,naxal bhatbhateni,180.71428571428572,0.9972352528090538
higher ground bakery,bakery,bhanimandal ekantakuna 13,386.48936170212767,0.9937812958108306
himalayan bio kitchen,nepali  multicuisine,baluwatar,333.1506849315069,0.9946765912931599
himalayan biryani house,indian,boudha,332.688679245283,0.9946843461087782
himalayan cafe  restaurant,multi cuisine bakery,jamal kantipath,586.9243697478992,0.9904169724329621
himeberry strawberry,organic,kalikasthan,850.7692307692307,0.9859883077864056
hong xiang hotel  restaurant,chinese,bizuli bazar,698.2803921568628,0.9885478495032421
hot bread,bakery  fast food,naxal,423.7912087912088,0.9931551802563522
hotel dolmaling,multi cuisine,boudha phulbari,486.7085889570552,0.9920991051972595
hotel imperial kathmandu,multi cuisine,battisputali,294.592,0.9953238030073197
hotel tradition  spa,multi cuisine,saatghumti thamel,319.7435897435897,0.9949016308419383
house 5,italian american deli,jhamsikhel thado dhunga,596.3406593406594,0.9902589189895113
